"receiver_player_id","receiver_player_name","posteam","targets","receptions","rec_yards","rec_tds","epa_per_target","yards_per_reception","first_downs","catch_rate","yards_per_target","team_color"
"00-0036875","R.Stevenson","NE",38,32,347,2,0.344678959128072,9.07894736842105,11,0.842105263157895,9.13157894736842,"#002244"
"00-0040122","A.Jeanty","LV",73,55,346,6,-0.162694736463311,4.73972602739726,14,0.753424657534247,4.73972602739726,"#000000"
"00-0033857","J.Smith-Schuster","KC",45,33,345,2,0.0582461244881984,7.66666666666667,19,0.733333333333333,7.66666666666667,"#E31837"
"00-0036988","J.Palmer","BUF",37,22,336,0,0.18225979566179,9.08108108108108,14,0.594594594594595,9.08108108108108,"#00338D"
"00-0037252","G.Dulcich","MIA",34,26,335,1,0.515034949748099,9.85294117647059,14,0.764705882352941,9.85294117647059,"#008E97"
"00-0037228","J.Warren","PIT",45,40,333,2,0.236475824399754,7.4,14,0.888888888888889,7.4,"#000000"
"00-0038393","D.Wicks","GB",46,30,332,2,0.307782246459321,7.21739130434783,21,0.652173913043478,7.21739130434783,"#203731"
"00-0030564","D.Hopkins","BAL",39,22,330,2,0.242236643016915,8.46153846153846,15,0.564102564102564,8.46153846153846,"#241773"
"00-0039066","M.Mayer","LV",50,35,328,1,-0.196836765238968,6.56,18,0.7,6.56,"#000000"
"00-0039880","M.Washington","MIA",65,46,324,3,-0.151167035127856,4.98461538461538,16,0.707692307692308,4.98461538461538,"#008E97"
"00-0040727","T.Harris","LAC",43,30,324,1,0.356448424258083,7.53488372093023,18,0.697674418604651,7.53488372093023,"#007BC7"
"00-0038976","M.Mims","DEN",51,37,322,1,0.0685339902377776,6.31372549019608,16,0.725490196078431,6.31372549019608,"#002244"
"00-0040237","T.Johnson","TB",44,28,322,5,0.371418049664777,7.31818181818182,16,0.636363636363636,7.31818181818182,"#A71930"
"00-0040782","I.Bond","CLE",44,18,317,0,-0.0182842168630696,7.20454545454545,11,0.409090909090909,7.20454545454545,"#FF3C00"
"00-0035208","O.Zaccheaus","CHI",66,39,313,2,-0.057512010485648,4.74242424242424,15,0.590909090909091,4.74242424242424,"#0B162A"
"00-0034829","M.Gesicki","CIN",43,28,307,2,0.101969772236774,7.13953488372093,19,0.651162790697674,7.13953488372093,"#FB4F14"
"00-0037838","I.Likely","BAL",36,27,307,1,0.149872785206904,8.52777777777778,11,0.75,8.52777777777778,"#241773"
"00-0034837","C.Ridley","TEN",36,17,303,1,0.339478473107369,8.41666666666667,13,0.472222222222222,8.41666666666667,"#002244"
"00-0039041","E.Higgins","ARI",37,30,301,0,0.0385860350467516,8.13513513513514,15,0.810810810810811,8.13513513513514,"#97233F"
"00-0039890","A.Mitchell","NYJ",58,24,301,2,-0.142070672825612,5.18965517241379,13,0.413793103448276,5.18965517241379,"#003F2D"
"00-0040718","T.Hunter","JAX",45,28,298,1,-0.051268669223203,6.62222222222222,12,0.622222222222222,6.62222222222222,"#006778"
"00-0036139","R.Dowdle","CAR",50,39,297,1,-0.0180543831541296,5.94,14,0.78,5.94,"#0085CA"
"00-0033885","D.Njoku","CLE",48,33,293,4,-0.0753077571559954,6.10416666666667,11,0.6875,6.10416666666667,"#FF3C00"
